,deepseek/deepseek-chat,,,,,openai/gpt-5-mini,,,,,perplexity/sonar,,,,,google/gemini-2.0-flash-001,,,,
,CLASSes,,,RELATIONSHIPs,,CLASSes,,,RELATIONSHIPs,,CLASSes,,,RELATIONSHIPs,,CLASSes,,,RELATIONSHIPs,
RMS,TP,19,,TP,24,TP,22,,TP,16,TP,25,,TP,24,TP,21,,TP,23
,FP,4,,FP,35,FP,7,,FP,80,FP,8,,FP,21,FP,6,,FP,30
,FN,13,,FN,26,FN,10,,FN,34,FN,7,,FN,26,FN,11,,FN,27
,TN,0,,TN,0,TN,0,,TN,0,TN,0,,TN,0,TN,0,,TN,0
,Precision,0.826086957,,Precision,0.406779661,Precision,0.75862069,,Precision,0.166666667,Precision,0.757575758,,Precision,0.533333333,Precision,0.777777778,,Precision,0.433962264
,Recall,0.59375,,Recall,0.48,Recall,0.6875,,Recall,0.32,Recall,0.78125,,Recall,0.48,Recall,0.65625,,Recall,0.46
,F1-Score,0.690909091,,F1-Score,0.440366972,F1-Score,0.721311475,,F1-Score,0.219178082,F1-Score,0.769230769,,F1-Score,0.505263158,F1-Score,0.711864407,,F1-Score,0.446601942
OPS,TP,26,,TP,23,TP,23,,TP,7,TP,26,,TP,19,TP,27,,TP,25
,FP,8,,FP,33,FP,30,,FP,103,FP,9,,FP,25,FP,8,,FP,45
,FN,11,,FN,32,FN,14,,FN,48,FN,11,,FN,36,FN,10,,FN,30
,TN,0,,TN,0,TN,0,,TN,0,TN,0,,TN,0,TN,0,,TN,0
,Precision,0.764705882,,Precision,0.410714286,Precision,0.433962264,,Precision,0.063636364,Precision,0.742857143,,Precision,0.431818182,Precision,0.771428571,,Precision,0.357142857
,Recall,0.702702703,,Recall,0.418181818,Recall,0.621621622,,Recall,0.127272727,Recall,0.702702703,,Recall,0.345454545,Recall,0.72972973,,Recall,0.454545455
,F1-Score,0.732394366,,F1-Score,0.414414414,F1-Score,0.511111111,,F1-Score,0.084848485,F1-Score,0.722222222,,F1-Score,0.383838384,F1-Score,0.75,,F1-Score,0.4
